"work_name","work_url"
封神第一部：朝歌风云,https://movie.douban.com/subject/10604086/
奋斗,https://movie.douban.com/subject/2138507/
封神第二部：战火西岐,https://movie.douban.com/subject/30181250/
奇葩说 第七季,https://movie.douban.com/subject/35070344/
与时尚同居,https://movie.douban.com/subject/6101834/
像鸡毛一样飞,https://movie.douban.com/subject/1298183/
"11度青春之《L.I》",https://movie.douban.com/subject/5323366/
大漠追艳,https://movie.douban.com/subject/6094930/
鲁豫的礼物 第二季,https://movie.douban.com/subject/26794183/
阿伦与春晓,https://movie.douban.com/subject/26340321/
化蝶,https://movie.douban.com/subject/35621248/
界,https://movie.douban.com/subject/37170662/
我们的小世界,https://music.douban.com/subject/3538228/
I Do,https://music.douban.com/subject/4583041/
爱·生灵,https://music.douban.com/subject/5279749/
Je t'aime,https://music.douban.com/subject/5256610/
Ocean,https://music.douban.com/subject/25832304/
有爱任性,https://music.douban.com/subject/26325548/
下雨天真,https://music.douban.com/subject/26995659/
无间爱恋,https://music.douban.com/subject/26753521/
爱生灵,https://book.douban.com/subject/6148863/
喜剧之王,https://movie.douban.com/subject/1302425/
功夫熊猫,https://movie.douban.com/subject/1783457/
宝贝计划,https://movie.douban.com/subject/1859036/
功夫熊猫2,https://movie.douban.com/subject/3233635/
功夫熊猫3,https://movie.douban.com/subject/11589036/
攀登者,https://movie.douban.com/subject/30413052/
十二生肖,https://movie.douban.com/subject/4212172/
私人订制,https://movie.douban.com/subject/10605978/
新警察故事,https://movie.douban.com/subject/1306160/
解忧杂货店,https://movie.douban.com/subject/26654146/
神话,https://movie.douban.com/subject/1307023/
胭脂扣,https://movie.douban.com/subject/1299288/
功夫瑜伽,https://movie.douban.com/subject/26182910/
英伦对决,https://movie.douban.com/subject/25723583/
花木兰,https://movie.douban.com/subject/1294833/
功夫之王,https://movie.douban.com/subject/1939414/
阮玲玉,https://movie.douban.com/subject/1293414/
我是谁,https://movie.douban.com/subject/1300303/
A计划,https://movie.douban.com/subject/1297909/
警察故事2013,https://movie.douban.com/subject/20266753/
警察故事,https://movie.douban.com/subject/1400868/
大兵小将,https://movie.douban.com/subject/3279107/
绝地逃亡,https://movie.douban.com/subject/24529353/
新宿事件,https://movie.douban.com/subject/2209368/
天将雄师,https://movie.douban.com/subject/25823833/
尖峰时刻,https://movie.douban.com/subject/1292624/
新少林寺,https://movie.douban.com/subject/4097023/
城市猎人,https://movie.douban.com/subject/1295064/
神探蒲松龄,https://movie.douban.com/subject/27065898/
红番区,https://movie.douban.com/subject/1296011/
铁道飞虎,https://movie.douban.com/subject/26389069/
千机变,https://movie.douban.com/subject/1307740/
心动,https://movie.douban.com/subject/1292289/
黄金兄弟,https://movie.douban.com/subject/27069427/
尖峰时刻2,https://movie.douban.com/subject/1304642/
邻家特工,https://movie.douban.com/subject/3179758/
双龙会,https://movie.douban.com/subject/1296978/
急先锋,https://movie.douban.com/subject/27195078/
醉拳,https://movie.douban.com/subject/1296693/
飞鹰计划,https://movie.douban.com/subject/1302753/
红毯先生,https://movie.douban.com/subject/35494829/
千机变Ⅱ花都大战,https://movie.douban.com/subject/1308811/
警察故事3：超级警察,https://movie.douban.com/subject/1296203/
醉拳2,https://movie.douban.com/subject/1307319/
功夫梦,https://movie.douban.com/subject/3074503/
机器之血,https://movie.douban.com/subject/26729868/
A计划续集,https://movie.douban.com/subject/1299120/
警察故事续集,https://movie.douban.com/subject/1304726/
尖峰时刻3,https://movie.douban.com/subject/1422106/
建国大业,https://movie.douban.com/subject/3543690/
快餐车,https://movie.douban.com/subject/1292867/
玻璃樽,https://movie.douban.com/subject/1306541/
救火英雄,https://movie.douban.com/subject/20443013/
警察故事4：简单任务,https://movie.douban.com/subject/1296947/
神话,https://movie.douban.com/subject/3732699/
神奇燕尾服,https://movie.douban.com/subject/1305183/
龙马精神,https://movie.douban.com/subject/35595615/
许愿神龙,https://movie.douban.com/subject/27662747/
侠女,https://movie.douban.com/subject/1306490/
辛亥革命,https://movie.douban.com/subject/4896305/
奇谋妙计五福星,https://movie.douban.com/subject/1293658/
环游地球八十天,https://movie.douban.com/subject/1308772/
奇迹,https://movie.douban.com/subject/1293941/
一个好人,https://movie.douban.com/subject/1295547/
成龙历险记 第一季,https://movie.douban.com/subject/1933857/
霹雳火,https://movie.douban.com/subject/1299502/
龙兄虎弟,https://movie.douban.com/subject/1299858/
福星高照,https://movie.douban.com/subject/1293732/
特警新人类,https://movie.douban.com/subject/1299048/
锵锵三人行,https://movie.douban.com/subject/26100432/
上海正午,https://movie.douban.com/subject/1297866/
一个好爸爸,https://movie.douban.com/subject/3005496/
夏日福星,https://movie.douban.com/subject/1303717/
特务迷城,https://movie.douban.com/subject/1302242/
龙牌之谜,https://movie.douban.com/subject/26367602/
龙争虎斗,https://movie.douban.com/subject/1293118/
蛇形刁手,https://movie.douban.com/subject/1498658/
飞龙再生,https://movie.douban.com/subject/1308110/
龙虎武师,https://movie.douban.com/subject/33410979/
龙的心,https://movie.douban.com/subject/1294251/
传说,https://movie.douban.com/subject/36207284/
精武家庭,https://movie.douban.com/subject/1364764/
霸王花,https://movie.douban.com/subject/1408315/
长恨歌,https://movie.douban.com/subject/1422889/
重案组,https://movie.douban.com/subject/1299966/
飞龙猛将,https://movie.douban.com/subject/1300714/
上海正午2：上海骑士,https://movie.douban.com/subject/1307675/
今夜不设防,https://movie.douban.com/subject/1476754/
火烧岛,https://movie.douban.com/subject/1302537/
龙少爷,https://movie.douban.com/subject/1297213/
熊猫计划,https://movie.douban.com/subject/36441385/
地球：神奇的一天,https://movie.douban.com/subject/26647876/
怎么办！脱口秀专场,https://movie.douban.com/subject/35890470/
寻找成龙,https://movie.douban.com/subject/3737278/
成龙历险记 第二季,https://movie.douban.com/subject/25715362/
师弟出马,https://movie.douban.com/subject/1294131/
成化十四年,https://movie.douban.com/subject/30361963/
成龙历险记 第三季,https://movie.douban.com/subject/25715364/
成龙历险记 第五季,https://movie.douban.com/subject/25715367/
成龙历险记 第四季,https://movie.douban.com/subject/25715365/
王牌对王牌 第二季,https://movie.douban.com/subject/26956708/
大佬爱美丽,https://movie.douban.com/subject/1308803/
功夫熊猫感恩节特辑,https://movie.douban.com/subject/5323683/
男生女相：华语电影之性别,https://movie.douban.com/subject/1369759/
大醉侠,https://movie.douban.com/subject/1301946/
海南鸡饭,https://movie.douban.com/subject/1309013/
爸爸去哪儿 第四季,https://movie.douban.com/subject/26649931/
忍者神龟：变种大乱斗,https://movie.douban.com/subject/26369765/
歌手2017,https://movie.douban.com/subject/26768316/
曾经相爱的我们,https://movie.douban.com/subject/27067713/
尖峰时刻4,https://movie.douban.com/subject/11599093/
笑拳怪招,https://movie.douban.com/subject/1295273/
晓说2017,https://movie.douban.com/subject/26996841/
超级计划,https://movie.douban.com/subject/1482541/
无限超越班,https://movie.douban.com/subject/36086348/
神勇飞虎霸王花,https://movie.douban.com/subject/1305016/
爸爸回来了 第一季,https://movie.douban.com/subject/25868112/
今晚80后脱口秀,https://movie.douban.com/subject/25864078/
十二道锋味,https://movie.douban.com/subject/25864150/
七小福,https://movie.douban.com/subject/1296044/
精灵世纪,https://movie.douban.com/subject/4097232/
龙拳,https://movie.douban.com/subject/1299487/
乐高幻影忍者大电影,https://movie.douban.com/subject/25833230/
威龙猛探,https://movie.douban.com/subject/1304199/
四大天王,https://movie.douban.com/subject/1779509/
幻影特攻,https://movie.douban.com/subject/1296698/
狂怒沙暴,https://movie.douban.com/subject/27042557/
神勇双响炮,https://movie.douban.com/subject/1304318/
我是谁2015,https://movie.douban.com/subject/25864173/
忠烈图,https://movie.douban.com/subject/1296161/
蛇鹤八步,https://movie.douban.com/subject/1438924/
少林木人巷,https://movie.douban.com/subject/1400869/
杀手壕,https://movie.douban.com/subject/1303137/
金瓶双艳,https://movie.douban.com/subject/3801357/
总是有爱在隔离,https://movie.douban.com/subject/35118225/
新精武门,https://movie.douban.com/subject/2154245/
拳精,https://movie.douban.com/subject/1308308/
一招半式闯江湖,https://movie.douban.com/subject/1292967/
成龙的特技,https://movie.douban.com/subject/1299592/
李小龙：勇士的旅程,https://movie.douban.com/subject/1305710/
北地胭脂,https://movie.douban.com/subject/1303611/
李小龙如何改变了世界,https://movie.douban.com/subject/4228194/
一个人的奥林匹克,https://movie.douban.com/subject/2144584/
两个女人，一个靓，一个唔靓,https://movie.douban.com/subject/2355751/
龙腾虎跃,https://movie.douban.com/subject/1481649/
李宗盛：理性与感性作品音乐会,https://movie.douban.com/subject/33414403/
梅艳芳经典金曲演唱会,https://movie.douban.com/subject/30470561/
说谎的女人,https://movie.douban.com/subject/1304983/
抢劫坚果店2,https://movie.douban.com/subject/25817617/
花飞满城春,https://movie.douban.com/subject/1875086/
风雨双流星,https://movie.douban.com/subject/1294049/
"90年代初香港电影漫谈",https://movie.douban.com/subject/26795100/
三德和尚与舂米六,https://movie.douban.com/subject/1304951/
中国武侠电影人物志,https://movie.douban.com/subject/20491745/
新警察故事2,https://movie.douban.com/subject/26651674/
西环的故事,https://movie.douban.com/subject/2208942/
危险情人,https://movie.douban.com/subject/1863735/
迷你特攻队,https://movie.douban.com/subject/1302191/
艺术人生,https://movie.douban.com/subject/2155284/
世博总动员,https://movie.douban.com/subject/4903626/
有一种电影叫香港,https://movie.douban.com/subject/25783449/
少林门,https://movie.douban.com/subject/1293367/
功夫梦：融合之道,https://movie.douban.com/subject/11600089/
剑花烟雨江南,https://movie.douban.com/subject/1307832/
西藏小子,https://movie.douban.com/subject/2072947/
奇幻龙宝,https://movie.douban.com/subject/11519185/
"2008年第29届北京奥运会闭幕式",https://movie.douban.com/subject/34875547/
飞渡卷云山,https://movie.douban.com/subject/1307140/
舞台姊妹,https://movie.douban.com/subject/1895615/
炮弹飞车,https://movie.douban.com/subject/1295948/
成龙的传奇,https://movie.douban.com/subject/3444612/
广东小老虎,https://movie.douban.com/subject/1294079/
电影香江之功夫世家,https://movie.douban.com/subject/1481732/
炮弹飞车2,https://movie.douban.com/subject/1293629/
搏命单刀夺命枪,https://movie.douban.com/subject/1485425/
武术之少年行,https://movie.douban.com/subject/1950530/
百年梦工场,https://movie.douban.com/subject/3001600/
黑店,https://movie.douban.com/subject/2355978/
那时那你 第二季,https://movie.douban.com/subject/27608382/
扭计杂牌军,https://movie.douban.com/subject/1484137/
功夫片岁月,https://movie.douban.com/subject/1428514/
龙的深处：失落的拼图,https://movie.douban.com/subject/1308060/
新成龙历险记,https://movie.douban.com/subject/27018294/
合气道,https://movie.douban.com/subject/2122869/
"""湾区升明月""2024大湾区电影音乐晚会",https://movie.douban.com/subject/37045521/
电影终极之战,https://movie.douban.com/subject/1424253/
梅艳芳·10·思念·音乐·会,https://movie.douban.com/subject/35044539/
埋伏,https://movie.douban.com/subject/1301881/
李小龙传奇,https://movie.douban.com/subject/3673958/
我的日记,https://movie.douban.com/subject/30238436/
“齐歌龍咚锵”2024河南春晚,https://movie.douban.com/subject/36728666/
影响：改革开放40年的中国电影,https://movie.douban.com/subject/30382626/
我看你有戏,https://movie.douban.com/subject/26275703/
火爆浪子,https://movie.douban.com/subject/1307572/
扣扣熊晚间秀 第一季,https://movie.douban.com/subject/26046537/
星光,https://movie.douban.com/subject/30377098/
龙火,https://movie.douban.com/subject/1300255/
巅峰斗士,https://movie.douban.com/subject/2152889/
拍案惊奇,https://movie.douban.com/subject/4100731/
十二生肖2,https://movie.douban.com/subject/26334713/
许愿神龙2,https://movie.douban.com/subject/35332550/
"100位最伟大的电影明星",https://movie.douban.com/subject/4311891/
荒江女侠,https://movie.douban.com/subject/1306971/
孖宝闯八关,https://movie.douban.com/subject/2071185/
恶虎村,https://movie.douban.com/subject/1303437/
防弹特工,https://movie.douban.com/subject/10532718/
熊猫特工,https://movie.douban.com/subject/35448976/
铁汉柔情,https://movie.douban.com/subject/2142151/
保镖故事,https://movie.douban.com/subject/35407579/
密宗圣手,https://movie.douban.com/subject/3056300/
无敌成龙,https://movie.douban.com/subject/3065058/
上海正午3：上海破晓,https://movie.douban.com/subject/26390131/
曼哈顿,https://movie.douban.com/subject/24751771/
陌生家庭,https://movie.douban.com/subject/36790513/
危险的美女：功夫之王中的女人,https://movie.douban.com/subject/5181026/
周六夜现场：成龙/摇滚小子,https://movie.douban.com/subject/10451841/
金装武术电影大全,https://movie.douban.com/subject/1887184/
乐高幻影忍者：武术大师,https://movie.douban.com/subject/26921904/
急先锋 剧版,https://movie.douban.com/subject/27195142/
女警察,https://movie.douban.com/subject/4746906/
北派功夫,https://movie.douban.com/subject/1307726/
士兵突击之勇者奇兵,https://movie.douban.com/subject/26386522/
老鼠街,https://movie.douban.com/subject/4824787/
天下无敌,https://movie.douban.com/subject/26329802/
铁娃,https://movie.douban.com/subject/1297953/
未定名刘德华导演新片,https://movie.douban.com/subject/36317053/
急先锋2,https://movie.douban.com/subject/35723789/
家园行动,https://movie.douban.com/subject/30447856/
成功公式,https://movie.douban.com/subject/35986107/
捕风追影,https://movie.douban.com/subject/36600459/
新成龙历险记2,https://movie.douban.com/subject/35587848/
首席夜话,https://movie.douban.com/subject/26345716/
狼旗,https://movie.douban.com/subject/25662184/
麒麟掌,https://movie.douban.com/subject/3581854/
人间电影大炮,https://movie.douban.com/subject/26877113/
四王一后,https://movie.douban.com/subject/3041643/
双龙一虎闯天关,https://movie.douban.com/subject/1301514/
十二生肖传说,https://movie.douban.com/subject/30347847/
中国人物志-梦想篇,https://movie.douban.com/subject/26611454/
马丁,https://movie.douban.com/subject/3179427/
北京,https://movie.douban.com/subject/11498756/
脱贫攻坚战星光行动,https://movie.douban.com/subject/34451459/
森林礼物,https://movie.douban.com/subject/36466138/
码头大决斗,https://movie.douban.com/subject/3940921/
未来你好——“毕业歌2020”云演唱会,https://movie.douban.com/subject/35121282/
极夜,https://movie.douban.com/subject/26425410/
特务迷城之2003,https://movie.douban.com/subject/33456213/
香港超级巨星,https://movie.douban.com/subject/1766087/
香港电影风云人物录,https://movie.douban.com/subject/35498668/
雪覆沙,https://movie.douban.com/subject/26828018/
百战保山河,https://movie.douban.com/subject/4064732/
"2022快手一千零一夜",https://movie.douban.com/subject/35788946/
复仇电影,https://movie.douban.com/subject/3264695/
成龙环保英雄,https://movie.douban.com/subject/30203454/
火龙任务,https://movie.douban.com/subject/26897031/
忍者神龟：变种大乱斗2,https://movie.douban.com/subject/36791179/
星光燦爛聖誕夜,https://movie.douban.com/subject/35142462/
切尔西 第一季,https://movie.douban.com/subject/26789218/
红番区2,https://movie.douban.com/subject/36948631/
如果还能遇见你,https://movie.douban.com/subject/36330144/
龙小队,https://movie.douban.com/subject/27018278/
济公活佛,https://movie.douban.com/subject/26593039/
梅艳芳飞跃舞台十载情,https://movie.douban.com/subject/35725812/
Nickelodeon Kids' Choice Awards 2010,https://movie.douban.com/subject/4730546/
超级怪异秀,https://movie.douban.com/subject/3058213/
味传闽西,https://movie.douban.com/subject/35470671/
除霸,https://movie.douban.com/subject/5093224/
佳人有约,https://movie.douban.com/subject/36015068/
石破天惊,https://movie.douban.com/subject/26414277/
李小龙和功夫热潮,https://movie.douban.com/subject/26905158/
奥运在我家,https://movie.douban.com/subject/34834685/
龙之路,https://movie.douban.com/subject/34678428/
满洲人,https://movie.douban.com/subject/5187091/
阿钦影匣4：心跳篇,https://movie.douban.com/subject/3323482/
"2000年大热门娱乐奖颁奖典礼",https://movie.douban.com/subject/25938062/
中国星力量,https://movie.douban.com/subject/25908006/
两湖十八镖,https://movie.douban.com/subject/26413311/
中央广播电视总台2023年元宵晚会,https://movie.douban.com/subject/36788586/
Jackie Chan: Down to Earth,https://movie.douban.com/subject/33399494/
重启A计划,https://movie.douban.com/subject/37080191/
"1999年MTV电影奖",https://movie.douban.com/subject/5138798/
梅艳芳特辑之梦里风情,https://movie.douban.com/subject/35914365/
五星夜话,https://movie.douban.com/subject/26827738/
成龙•英雄诞生物语,https://movie.douban.com/subject/35446393/
"Jackie Chan - Humour, gloire et kung-fu",https://movie.douban.com/subject/36608058/
乌尔甘特今夜秀,https://movie.douban.com/subject/30221611/
罗宾·威廉姆斯：笑到你哭,https://movie.douban.com/subject/36217934/
卡皮尔·夏尔玛脱口秀,https://movie.douban.com/subject/26820791/
The Arsenio Hall Show Season 1,https://movie.douban.com/subject/25739601/
世界小姐2003,https://movie.douban.com/subject/3539904/
香港影武者-元班人马,https://movie.douban.com/subject/37019199/
GMA Day,https://movie.douban.com/subject/34678417/
The Making of Jackie Chan's 'Mr. Nice Guy',https://movie.douban.com/subject/5237430/
"2002 ABC World Stunt Awards",https://movie.douban.com/subject/5120870/
The Art of Influence,https://movie.douban.com/subject/3536293/
On the Scene with Lindalee,https://movie.douban.com/subject/30301413/
北京接触,https://movie.douban.com/subject/25800135/
星期六夜闯毛陈谷,https://movie.douban.com/subject/36244477/
Cinema Cafe with Jackie Chan,https://movie.douban.com/subject/35397876/
Dish Nation,https://movie.douban.com/subject/30414099/
The Unbelievable,https://movie.douban.com/subject/26812670/
子有祥情林子祥演唱会,https://movie.douban.com/subject/37114097/
台湾六十四集电视连续剧《倚天屠龙记》全部插曲,https://music.douban.com/subject/3842493/
梅艳芳·10·思念·音乐会,https://music.douban.com/subject/25807829/
滚石香港黄金十年成龙精选,https://music.douban.com/subject/3036599/
迪士尼花木兰电视原声带,https://music.douban.com/subject/2781301/
醉拳II：电影原声带,https://music.douban.com/subject/4883779/
醉拳 II (台湾盤),https://music.douban.com/subject/2067308/
国家,https://music.douban.com/subject/3573186/
功夫瑜伽,https://music.douban.com/subject/26960323/
《我是谁》原声大碟,https://music.douban.com/subject/2980060/
成龙超级精装大戏主题曲,https://music.douban.com/subject/1781344/
第一次,https://music.douban.com/subject/2995647/
弹起我心爱的土琵琶,https://music.douban.com/subject/26932048/
"真的,用了心",https://music.douban.com/subject/1405454/
成龙：真心英雄（HD,https://music.douban.com/subject/3026312/
油菜花,https://music.douban.com/subject/4720438/
龙的心,https://music.douban.com/subject/2083030/
美丽的神话,https://music.douban.com/subject/26944140/
广州2010亚运金曲十五首,https://music.douban.com/subject/5362007/
龙发制药 香港辉黄2000演唱会,https://music.douban.com/subject/4861192/
普通人,https://music.douban.com/subject/27130441/
警察故事3：超级警察,https://music.douban.com/subject/3026184/
物是人非,https://music.douban.com/subject/30190863/
普通人,https://music.douban.com/subject/27151534/
明明白白我的心(2016版),https://music.douban.com/subject/26836106/
第一次,https://music.douban.com/subject/6552121/
谢谢一辈子,https://music.douban.com/subject/30302727/
琵琶行,https://music.douban.com/subject/26940914/
英雄故事,https://music.douban.com/subject/27603311/
和平的薪火,https://music.douban.com/subject/34865055/
滚石院线黄金纪念版,https://music.douban.com/subject/2972520/
生生不息,https://music.douban.com/subject/30221333/
我还是成龙,https://music.douban.com/subject/30408862/
新情歌对唱卡拉OK(3),https://music.douban.com/subject/1411518/
新情歌对唱卡拉OK(4),https://music.douban.com/subject/1411519/
经典巨星男人篇(10),https://music.douban.com/subject/1411553/
新情歌对唱卡拉OK(1),https://music.douban.com/subject/1411555/
经典巨星男人篇(11)珍藏版,https://music.douban.com/subject/1411562/
滚石院线<2>(1碟装CD),https://music.douban.com/subject/1413496/
东方之珠（7-9）3CD,https://music.douban.com/subject/1846818/
最爱的主打歌精选辑,https://music.douban.com/subject/2216101/
当我们同在一起,https://music.douban.com/subject/3197773/
Fresh Pepper,https://music.douban.com/subject/3579183/
秋风落叶这条街:中文的士高,https://music.douban.com/subject/6554161/
龙的心,https://music.douban.com/subject/21363332/
ROCK A DANCE,https://music.douban.com/subject/24735648/
真的，用了心,https://music.douban.com/subject/26230384/
"真的,用了心",https://music.douban.com/subject/26875628/
龙的心,https://music.douban.com/subject/26912012/
第一次,https://music.douban.com/subject/26912013/
天天月圆,https://music.douban.com/subject/27080154/
The Best of Jackie Chan,https://music.douban.com/subject/27203815/
青春故事,https://music.douban.com/subject/30239351/
爱情老了,https://music.douban.com/subject/30250405/
别放弃,https://music.douban.com/subject/30271365/
给每一个需要力量的你,https://music.douban.com/subject/30278878/
这是我的“我爱你”,https://music.douban.com/subject/30302598/
我还是成龙(精装版),https://music.douban.com/subject/30408860/
Rush Hour,https://music.douban.com/subject/34522603/
宝丽金主题曲之王之最佳广播剧主题曲,https://music.douban.com/subject/34525063/
星光大道,https://music.douban.com/subject/34541904/
THUNDER ARM,https://music.douban.com/subject/34548977/
Rush Hour (Original Motion Picture Soundtrack),https://music.douban.com/subject/34594508/
成龙,https://music.douban.com/subject/34898179/
成龙：还没长大就老了,https://book.douban.com/subject/26353581/
我是成龙,https://book.douban.com/subject/36086485/
愛してポーポー,https://book.douban.com/subject/26735211/
ジャッキー・チェン 世界をかけめぐるスーパースター,https://book.douban.com/subject/26735214/
ジャッキーチェン：贈りもの,https://book.douban.com/subject/26735210/
ジャッキー チェン ヤング功夫マスター,https://book.douban.com/subject/26735213/
捉妖记,https://movie.douban.com/subject/25723907/
投名状,https://movie.douban.com/subject/1947089/
推拿,https://movie.douban.com/subject/20020577/
剑雨,https://movie.douban.com/subject/3813779/
紧急救援,https://movie.douban.com/subject/26342391/
越光宝盒,https://movie.douban.com/subject/3928370/
小巷人家,https://movie.douban.com/subject/36534750/
志愿军：雄兵出击,https://movie.douban.com/subject/35496350/
